,name,synonyms
13,confusion,"['dubiety', 'mayhem', 'pandemonium', 'disorderliness', 'entropy', 'shambles', 'welter', 'jumble', 'discomposure', 'befuddlement', 'tumble', 'incertitude', 'shock', 'discomfiture', 'havoc', 'disconcertment', 'disarray', 'bafflement', 'litter', 'uproar', 'perplexity', 'babel', 'disorientation', 'maelstrom', 'hullabaloo', 'anarchy', 'hesitancy', 'daze', 'heap', 'mess', 'bamboozlement', 'tangle', 'disorganization', 'ignorance', 'disconcertion', 'mystification', 'skeptism', 'devastation', 'madness', 'wonder', 'disorder', 'puzzlement', 'stupefaction', 'turmoil', 'unheaval', 'uncertainty', 'astonishment', 'doubt', 'entanglement', 'hesitation', 'chaos', 'discombobulation', 'untidiness', 'scepticism', 'unsureness', 'bedlam', 'hurly-burly', 'indecision', 'frenzy', 'bewilderment', 'tumult', 'disruption', 'wonderment', 'furore', 'commotion', 'muddle']"
14,contentment,"['placidity', 'peace', 'restfulness', 'satisfaction', 'comfort', 'placidness', 'complacency', 'repletion', 'ease', 'fulfilment', 'content', 'gratification', 'serenity', 'contentedness', 'gladness', 'cheerfulness', 'well-being', 'pleasure', 'self-content', 'equanimity', 'tranquillity', 'happiness']"
15,courage,"['adventurousness', 'grit', 'audacity', 'fearlessness', 'spirit', 'heroism', 'spunk', 'pugnacity', 'recklessness', 'gameness', 'daring', 'bravery', 'power', 'adventuresomeness', 'pluck', 'dauntlessness', 'bravura', 'rashness', 'intrepidity', 'mettle', 'enterprise', 'dash', 'determination', 'prowess', 'lion-heartedness', 'valor', 'firmness', 'fortitude', 'tenacity', 'hardihood', 'resolution', 'backbone', 'nerve', 'endurance', 'guts', 'venturesomeness', 'gallantry', 'stoutheartedness', 'elan', 'temerity']"
16,curiosity,"['rarity', 'marvel', 'idiosyncrasy', 'unusualness', 'novelty', 'wonder', 'nosiness', 'phenomenon', 'peculiarity', 'curio', 'oddness', 'inquisitiveness', 'strangeness', 'oddity', 'interest']"
17,defeat,"['foil', 'disappointment', 'conquering', 'rejection', 'outvote', 'discomfiture', 'worst', 'hinder', 'quash', 'paste', 'pwn', 'fox', 'beating', 'shellac', 'puzzle', 'drubbing', 'nonplus', 'marmalize', 'flummox', 'caning', 'discomfit', 'quell', 'confuse', 'reverse', 'overthrow', 'confound', 'setback', 'slaughter', 'overcome', 'cane', 'game', 'flatten', 'whip', 'scupper', 'licking', 'stump', 'own', 'debar', 'foundering', 'thrash', 'block', 'failure', 'perplex', 'loss', 'throw', 'reject', 'frustrate', 'mystify', 'undoing', 'subjugate', 'forestall', 'lick', 'frustration', 'breakdown', 'stymie', 'crush', 'bemuse', 'vanquishing', 'baffle', 'massacre', 'deter', 'hammer', 'impede', 'subdue', 'faze', 'obstruct', 'murder', 'cream', 'clobbering', 'crucify', 'demolition', 'thrashing', 'nobble', 'drub', 'rout', 'repulse', 'derail', 'overpowering', 'spurn', 'obviate', 'best', 'pounding', 'prevent', 'pound', 'downfall', 'ownage', 'clobber', 'set', 'hamper', 'discombobulate', 'pasting', 'dismiss', 'bewilder', 'hiding', 'trouncing', 'overpower', 'hammering', 'worsting', 'pwnage', 'miscarriage', 'subjugation', 'skunk', 'snooker', 'scotch', 'demolish', 'ruin', 'whipping', 'besting', 'abortion', 'conquest', 'trounce', 'zap', 'tank', 'vanquishment', 'pulverize', 'slam', 'vanquish', 'thwart', 'balk', 'stuff', 'subduing', 'misfiring', 'flattening', 'pulverizing', 'conquer', 'debacle', 'overwhelm', 'beat', 'collapse', 'rebuff']"
18,defiance,"['subversiveness', 'audacity', 'resistance', 'confrontation', 'opposition', 'insolence', 'daring', 'boldness', 'contempt', 'recalcitrance', 'contumacy', 'bravado', 'provocation', 'aggression', 'rebelliousness', 'insubordination', 'disobedience', 'non-compliance', 'subversion', 'scorn', 'dissent', 'disregard', 'mutinousness', 'truculence', 'temerity']"
19,delight,"['gladden', 'excite', 'delectation', 'joy', 'glory', 'savour', 'divert', 'euphoria', 'rapture', 'pleased', 'relish', 'captivate', 'enchant', 'charm', 'jouissance', 'glee', 'ecstasy', 'bliss', 'tickle', 'gratification', 'elation', 'gratify', 'wallow', 'amusement', 'adore', 'gladness', 'amuse', 'thrill', 'entrance', 'love', 'pleasure', 'send', 'bewitch', 'excitement', 'dig', 'joyfulness', 'luxuriate', 'entertain', 'happiness', 'revel']"
20,dependence,"['weakness', 'vulnerability', 'addiction', 'reliance', 'fixation', 'abuse', 'defencelessness', 'subservience', 'over-reliance', 'dependency', 'compulsion', 'jones', 'craving', 'obsession', 'helplessness', 'subordination']"
21,depression,"['misery', 'paralysis', 'disconsolation', 'depression', 'moroseness', 'hopelessness', 'sorrow', 'inactivity', 'dispiritedness', 'dump', 'dysthymia', 'gloominess', 'recession', 'slowdown', 'pessimism', 'heavy-heartedness', 'mopery', 'gloom', 'doldrum', 'melancholia', 'slump', 'stagnation', 'low', 'standstill', 'desolation', 'decline', 'woe', 'megrims', 'stagflation', 'sadness', 'dejection', 'despondency', 'discouragement', 'funk', 'unhappiness', 'tearfulness', 'despair', 'dolour', 'disconsolateness', 'blahs', 'blues', 'dolefulness', 'downturn', 'moodiness', 'mopes', 'upset', 'melancholy', 'downheartedness']"
22,desire,"['concupiscence', 'covet', 'longing', 'need', 'lechery', 'lasciviousness', 'want', 'prurience', 'yen', 'aspiration', 'proper', 'correct', 'libidinousness', 'enthusiasm', 'needed', 'burning', 'proclivity', 'licentiousness', 'wish', 'sexuality', 'sought-after', 'appropriate', 'expected', 'suitable', 'ache', 'hunger', 'lust', 'sensuality', 'right', 'libido', 'appetite', 'impulse', 'lecherousness', 'predisposition', 'predilection', 'preference', 'thirst', 'selected', 'lewdness', 'inclination', 'preferred', 'determination', 'itch', 'passion', 'fancy', 'carnality', 'lustfulness', 'raunchiness', 'craved', 'yearning', 'fitting', 'chosen', 'horniness', 'eagerness', 'hankering', 'salaciousness', 'wantonness', 'randiness', 'wanted', 'crave', 'craving', 'pining', 'coveted']"
23,disappointment,"['dissatisfaction', 'non-starter', 'reversal', 'depression', 'sorrow', 'mortification', 'dispiritedness', 'let-down', 'non-event', 'dud', 'failure', 'disillusionment', 'discontent', 'regret', 'heavy-heartedness', 'disenchantment', 'disgruntlement', 'distress', 'chagrin', 'mess', 'displeasure', 'disaster', 'flop', 'dismay', 'misfortune', 'sadness', 'anticlimax', 'despondency', 'fiasco', 'washout', 'debacle', 'blow', 'catastrophe', 'setback']"
24,dislike,"['antagonism', 'abhorrence', 'execrate', 'antipathy', 'detestation', 'odium', 'hatred', 'enmity', 'contempt', 'abhor', 'abominate', 'aversion', 'detest', 'loathe', 'disapprobation', 'animus', 'oppose', 'disapproval', 'despise', 'disrelish', 'shun', 'animosity', 'disdain', 'distaste', 'hate', 'repugnance', 'scorn', 'loathing', 'hostility', 'disfavour', 'revulsion', 'disgust', 'abomination', 'disesteem']"
25,dismay,"['horrify', 'dispirit', 'faze', 'disquiet', 'daunt', 'spook', 'psych', 'discomposure', 'shock', 'bother', 'surprise', 'perturbation', 'anxiety', 'trouble', 'discountenance', 'consternation', 'appal', 'frighten', 'unsettle', 'startle', 'distress', 'perturb', 'concern', 'rattle', 'discomfit', 'disturb', 'trepidation', 'alarm', 'shake', 'scare', 'confound', 'disconcert', 'disquietude', 'fear', 'unman', 'pother', 'dishearten', 'unnerve', 'discompose', 'sadden', 'upset']"
26,distress,"['misery', 'hardship', 'disquiet', 'need', 'imperilment', 'angst', 'adversity', 'disturbing', 'grieve', 'upsetting', 'sad', 'sadness', 'discomfort', 'heartache', 'agitate', 'scratch', 'penury', 'torment', 'weather', 'impoverishment', 'agonizing', 'sorrow', 'dog', 'tragic', 'anxiety', 'anguish', 'heartbreaking', 'heartbreak', 'distressful', 'tribulation', 'harrow', 'damage', 'insecurity', 'unsettling', 'pain', 'haunting', 'desolation', 'harrowing', 'hazard', 'woe', 'painful', 'sadden', 'misfortune', 'ill', 'mellow', 'unhappiness', 'rack', 'curse', 'gut-wrenching', 'condition', 'peril', 'dent', 'concerning', 'jeopardy', 'alarming', 'indigence', 'season', 'shocking', 'beggary', 'perturb', 'disquieting', 'batter', 'risk', 'poverty', 'lack', 'vex', 'danger', 'heart-rending', 'worry', 'despair', 'pitiful', 'affecting', 'suffering', 'calamity', 'tormenting', 'affliction', 'plague', 'bother', 'difficulty', 'precariousness', 'age', 'perturbation', 'trouble', 'destitution', 'privation', 'traumatic', 'chip', 'ache', 'agony', 'grief', 'worrying', 'saddening', 'torture', 'wretchedness', 'disturb', 'endangerment', 'oppress', 'spoil', 'uneasiness', 'instability', 'afflict', 'deprivation', 'want', 'upset']"
27,embarrassment,"['agitation', 'self-consciousness', 'flusteredness', 'discomposure', 'mortification', 'fix', 'difficulty', 'discomfiture', 'jam', 'perturbation', 'scrape', 'sheepishness', 'predicament', 'ignominy', 'shame', 'distress', 'bind', 'quandary', 'chagrin', 'awkwardness', 'mess', 'imbroglio', 'humiliation', 'shyness', 'dilemma', 'problem', 'discomfort', 'uneasiness', 'plight', 'entanglement', 'pickle', 'unease', 'confusion', 'edginess', 'bashfulness']"
28,enthusiasm,"['gusto', 'craze', 'go', 'readiness', 'verve', 'energy', 'vehemence', 'vivacity', 'bug', 'entertainment', 'spirit', 'earnestness', 'pursuit', 'mania', 'fanaticism', 'commitment', 'leisure', 'liveliness', 'avidity', 'penchant', 'ardency', 'zealousness', 'thing', 'dynamism', 'willingness', 'devotedness', 'fad', 'vim', 'keenness', 'pep', 'ebullience', 'obsession', 'hobby', 'zest', 'interest', 'devotion', 'zap', 'brio', 'impulse', 'zip', 'preference', 'warmth', 'fire', 'wholeheartedness', 'vivaciousness', 'vigour', 'passionateness', 'inclination', 'passion', 'ardour', 'pastime', 'fancy', 'recreation', 'sap', 'get-up-and-go', 'fervour', 'oomph', 'fervency', 'rage', 'eagerness', 'exuberance', 'excitement', 'avidness', 'predilection', 'zeal', 'zing']"
29,envy,"['crave', 'resentfulness', 'prize', 'covet', 'pride', 'glory', 'jewel', 'pick', 'cream', 'discontent', 'top', 'desire', 'flower', 'wish', 'choice', 'yearn', 'spite', 'begrudge', 'finest', 'grudge', 'covetousness', 'jealousy', 'best', 'paragon', 'resentment', 'enviousness', 'elite', 'want', 'hanker', 'bitterness']"
30,excitement,"['elation', 'agitation', 'anticipation', 'spark', 'intensity', 'exhilaration', 'fire', 'eagerness', 'fever', 'emotion', 'delirium', 'zeal', 'enthusiasm', 'zest']"
31,fear,"['agitation', 'disquiet', 'discomposure', 'worriment', 'mania', 'neurosis', 'angst', 'anxiety', 'timidity', 'bogey', 'phobia', 'horror', 'nervousness', 'unrest', 'distress', 'suspicion', 'fright', 'panic', 'apprehension', 'dismay', 'trepidation', 'alarm', 'doubt', 'uneasiness', 'funk', 'terror', 'worry', 'nerve', 'nightmare', 'unease', 'misgiving', 'consternation', 'dread']"
32,frustration,"['discouragement', 'irritation', 'dissatisfaction', 'disappointment', 'depression', 'discontent', 'resentment', 'annoyance', 'aggravation', 'vexation', 'exasperation', 'anger', 'bitterness']"
33,fury,"['violence', 'intensity', 'temper', 'power', 'rage', 'outrage', 'ferocity', 'annoyance', 'force', 'madness', 'spleen', 'savagery', 'wrath', 'passion', 'anger', 'turbulence']"
34,generosity,"['altruism', 'magnanimity', 'self-sacrifice', 'nobility', 'honour', 'disinterest', 'bounty', 'kindness', 'liberality', 'indulgence', 'charity', 'goodness', 'kindliness', 'munificence', 'benevolence']"
35,greed,"['overconsumption', 'longing', 'need', 'self-indulgence', 'hungering', 'materialism', 'yen', 'acquisitiveness', 'enthusiasm', 'avidity', 'rapacity', 'desire', 'gluttony', 'hunger', 'imtemperance', 'appetite', 'money-grubbing', 'pleonexia', 'thirst', 'gourmandizing', 'money-grabbing', 'impatience', 'itch', 'overeating', 'avarice', 'urge', 'yearning', 'cupidity', 'eagerness', 'hankering', 'craving', 'pining']"
36,grief,"['misery', 'affliction', 'nuisence', 'sorrow', 'mortification', 'bother', 'bereavement', 'angst', 'lament', 'anguish', 'trouble', 'regret', 'heartbreak', 'aggravation', 'agony', 'headache', 'distress', 'pain', 'lamentation', 'desolation', 'woe', 'annoyance', 'remorse', 'sadness', 'dejection', 'despondency', 'heartache', 'irritation', 'mourning', 'despair', 'vexation', 'harassment', 'suffering', 'torment']"
37,guilt,"['culpability', 'compunction', 'delinquency', 'answerability', 'responsibility', 'wrongdoing', 'self-reproach', 'accountability', 'wrong', 'criminality', 'regret', 'misconduct', 'iniquity', 'rue', 'shame', 'remorse', 'penitence', 'repentance', 'liability', 'disgrace', 'self-accusation', 'dishonour', 'self-condemnation', 'sin', 'contrition']"
38,hate,"['antagonism', 'abhorrence', 'execrate', 'dislike', 'antipathy', 'detestation', 'bugbear', 'rancour', 'odium', 'bogey', 'hatred', 'bugaboo', 'enmity', 'regret', 'contempt', 'abhor', 'abominate', 'aversion', 'detest', 'loathe', 'animus', 'despise', 'disrelish', 'animosity', 'distaste', 'repugnance', 'loathing', 'hostility', 'resentment', 'revulsion', 'bane', 'hesitate', 'disgust', 'abomination', 'bitterness']"
39,hatred,"['antagonism', 'abhorrence', 'dislike', 'antipathy', 'detestation', 'rancour', 'odium', 'enmity', 'contempt', 'aversion', 'animus', 'disrelish', 'animosity', 'distaste', 'hate', 'repugnance', 'loathing', 'hostility', 'resentment', 'revulsion', 'disgust', 'abomination', 'bitterness']"
40,hope,"['longing', 'want', 'daydream', 'belief', 'aspiration', 'faith', 'conviction', 'assurance', 'wish', 'desire', 'promise', 'intend', 'optimism', 'expectancy', 'ambition', 'confidence', 'aspire', 'plan', 'trust', 'yearning', 'expectation', 'expect', 'hankering', 'dream', 'aim', 'craving', 'anticipate']"
41,horror,"['scallion', 'scamp', 'atrocity', 'scallywag', 'imp', 'shock', 'crime', 'savagery', 'cruelty', 'perturbation', 'abhor', 'hellion', 'abominate', 'detest', 'tyke', 'distress', 'scapegrace', 'perisher', 'fright', 'panic', 'loathe', 'rapscallion', 'outrage', 'dismay', 'varmint', 'awfulness', 'devil', 'trepidation', 'alarm', 'hate', 'terror', 'fear', 'rascal', 'barbarity', 'disgust', 'consternation', 'dread']"
42,hostility,"['antagonism', 'unkindness', 'aggressiveness', 'antipathy', 'opposition', 'action', 'rancour', 'hatred', 'enmity', 'strife', 'aversion', 'belligerence', 'warfare', 'anger', 'aggression', 'combat', 'fighting', 'spite', 'violence', 'animus', 'militancy', 'animosity', 'wrath', 'malevolence', 'conflict', 'bloodshed', 'resentment', 'malice', 'battles', 'venom', 'bitterness', 'war']"
43,impatience,"['agitation', 'dissatisfaction', 'shortness', 'restlessness', 'frustation', 'avidity', 'discontent', 'nervousness', 'aggravation', 'irritability', 'keenness', 'hunger', 'displeasure', 'annoyance', 'exasperation', 'pique', 'yearning', 'greed', 'intolerance', 'eagerness', 'longing']"
44,jealousy,"['envy', 'doubt', 'anxiety', 'defensiveness', 'care', 'insecurity', 'discontent', 'resentment', 'desire', 'spite', 'grudge', 'trust', 'vigilance', 'mindfulness', 'attentiveness', 'bitterness', 'suspicion']"
45,joy,"['delectation', 'treat', 'luck', 'jubilation', 'enjoyment', 'triumph', 'euphoria', 'rapture', 'buzz', 'satisfaction', 'exhilaration', 'glee', 'ecstasy', 'bliss', 'ebullience', 'kick', 'elation', 'gratification', 'accomplishment', 'rejoicing', 'radiance', 'success', 'thrill', 'exultation', 'pleasure', 'delight', 'achievement', 'exuberance', 'felicity', 'happiness']"
46,kindness,"['amiability', 'magnanimity', 'forbearance', 'grace', 'tact', 'cordiality', 'patience', 'goodness', 'thoughtfulness', 'clemency', 'benevolence', 'consideration', 'philanthropy', 'beneficence', 'sympathy', 'decency', 'gentleness', 'sweetness', 'charity', 'tolerance', 'humanity', 'serviceability', 'indulgence', 'delicacy', 'tenderness', 'unselfishness', 'affection', 'understanding', 'altruism', 'mildness', 'heart', 'solicitousness', 'graciousness', 'courtesy', 'helpfulness', 'kindliness', 'hospitality', 'solicitude']"
47,loneliness,"['remoteness', 'unhappiness', 'isolation', 'separation', 'unpopularity', 'abandonment', 'rejection', 'solitude', 'sadness', 'despondency', 'seclusion']"
48,longing,"['covet', 'hope', 'need', 'witful', 'yen', 'pining', 'aspiration', 'burning', 'burn', 'wish', 'desire', 'thirsty', 'yearn', 'ache', 'lust', 'hunger', 'hungry', 'thirst', 'hopeful', 'itch', 'pant', 'fancy', 'desirous', 'covetous', 'urge', 'yearning', 'craving', 'pine', 'eagerness', 'hankering', 'avid', 'wishful', 'dream', 'crave', 'want', 'zeal']"
49,love,"['prize', 'friendship', 'taste', 'adoration', 'enthusiasm', 'philanthropy', 'proclivity', 'penchant', 'friendliness', 'sympathy', 'infatuation', 'leaning', 'devotion', 'regard', 'appreciation', 'affair', 'inclination', 'passion', 'tenderness', 'respects', 'altruism', 'lover', 'disposition', 'compassion', 'delight', 'relationship', 'compliments', 'angel', 'betrothed', 'wife', 'enjoy', 'querida', 'benevolence', 'significant', 'regards', 'doting', 'sweetheart', 'charity', 'loved', 'worship', 'warmth', 'kindness', 'dear', 'adore', 'yearning', 'boyfriend', 'kindliness', 'predilection', 'treasure', 'endearment', 'paramour', 'savour', 'fondness', 'intrigue', 'idolize', 'adulation', 'liaison', 'dearest', 'desire', 'attachment', 'inamorato', 'keenness', 'lust', 'sweet', 'appetite', 'goodwill', 'care', 'concern', 'felicitations', 'best', 'honey', 'caring', 'zeal', 'solicitude', 'salutations', 'enjoyment', 'liking', 'husband', 'greetings', 'relish', 'romance', 'cherish', 'bent', 'zest', 'humanity', 'inamorata', 'amour', 'intimacy', 'ardour', 'affection', 'girlfriend', 'partiality', 'beloved', 'darling']"
50,lust,"['concupiscence', 'covet', 'longing', 'lechery', 'want', 'avidity', 'desire', 'sexuality', 'keenness', 'salacity', 'hunger', 'nympholepsy', 'libido', 'appetite', 'thirst', 'passion', 'ardour', 'fancy', 'yearning', 'greed', 'cupidity', 'eagerness', 'hankering', 'crave', 'craving', 'drive']"
51,malice,"['malignance', 'rancour', 'hatred', 'enmity', 'spite', 'animus', 'grudge', 'devilry', 'animosity', 'devilment', 'spleen', 'backbiting', 'hate', 'malevolence', 'hostility', 'revenge', 'gall', 'venom', 'bitterness']"
52,misery,"['ordeal', 'hardship', 'dampener', 'mishap', 'depression', 'trial', 'doldrums', 'killjoy', 'affliction', 'melancholiac', 'sorrow', 'misadventure', 'difficulty', 'misforture', 'angst', 'anxiety', 'adversity', 'anguish', 'trouble', 'complainer', 'mope', 'heartbreak', 'grump', 'tribulation', 'gloom', 'accident', 'melancholia', 'agony', 'hell', 'distress', 'melancholy', 'grief', 'pain', 'desolation', 'disaster', 'torture', 'woe', 'reverse', 'damper', 'sourpuss', 'poverty', 'sadness', 'dejection', 'pessimist', 'despondency', 'problem', 'discomfort', 'heartache', 'danger', 'unhappiness', 'despair', 'dolour', 'mischance', 'burden', 'blow', 'spoilsport', 'suffering', 'load', 'deprivation', 'catastrophe', 'grouch', 'calamity', 'torment']"
53,optimism,"['cheer', 'hope', 'confidence', 'buoyancy', 'cheerfulness']"
54,panic,"['agitation', 'horrify', 'disquiet', 'fluster', 'spook', 'state', 'terrify', 'anxiety', 'perturbation', 'horror', 'nervousness', 'frighten', 'fright', 'apprehension', 'dismay', 'tizz', 'overreact', 'trepidation', 'alarm', 'scare', 'funk', 'agitate', 'flap', 'terror', 'fear', 'swivet', 'unnerve', 'hysteria', 'tizzy', 'consternation', 'dread']"
55,patience,"['insistence', 'calmness', 'resignation', 'obstinacy', 'consideration', 'composure', 'diligence', 'perseverance', 'persistence', 'tolerance', 'restraint', 'serenity', 'kindness', 'indulgence', 'determination', 'sufferance', 'lenience', 'tranquility', 'fortitude', 'understanding', 'tenacity', 'resolution', 'equilibrium', 'resolve', 'self-restraint', 'equanimity', 'endurance', 'application', 'assiduity', 'forbearance', 'stoicism']"
56,pessimism,"['negativity', 'doubt', 'distrust', 'depression', 'fatalism', 'despair', 'cynicism', 'hopelessness', 'angst', 'gloom', 'dejection', 'melancholy', 'despondency']"
57,pity,"['understanding', 'shame', 'bummer', 'commiseration', 'condolence', 'feeling', 'compassion', 'regret', 'sympathy', 'emotion', 'sorrow', 'misfortune', 'crime', 'sin', 'sadness', 'distress', 'ruth']"
58,pleasure,"['hedonism', 'delectation', 'treat', 'relaxation', 'joy', 'enjoyment', 'entertainment', 'self-indulgence', 'divertissement', 'satisfaction', 'leisure', 'rapture', 'glee', 'fulfilment', 'gratification', 'contentment', 'amusement', 'indulgence', 'pastime', 'recreation', 'thrill', 'diversion', 'delight', 'jollies', 'fun', 'self-gratification', 'happiness']"
59,pride,"['self-glorification', 'self-importance', 'narcissism', 'dignity', 'self-image', 'admiration', 'joy', 'hubris', 'self-regard', 'self-worth', 'satisfaction', 'vainglory', 'self-adulation', 'comfort', 'self-esteem', 'fulfilment', 'content', 'egotism', 'hauteur', 'vaunt', 'snobbery', 'self-admination', 'self-respect', 'gratification', 'contentment', 'ego', 'self-love', 'honour', 'presumption', 'self-identity', 'disdain', 'marvel', 'pleasure', 'self-conceit', 'delight', 'condescension', 'darling', 'conceit', 'vanity', 'haughtiness', 'arrogance']"
60,rage,"['craze', 'taste', 'compulsion', 'seethe', 'tantrum', 'enthusiasm', 'desire', 'boil', 'pet', 'fad', 'trend', 'rant', 'rampage', 'obsession', 'rave', 'weakness', 'appetite', 'temper', 'fury', 'passion', 'fashion', 'love', 'craving', 'vogue']"
61,relief,"['consolation', 'succour', 'calmness', 'relaxation', 'entertainment', 'standby', 'reduction', 'allaying', 'aid', 'let-up', 'benefit', 'fill-in', 'sustenance', 'release', 'lightening', 'comfort', 'ease', 'replacement', 'locum', 'repose', 'easing', 'exemption', 'donations', 'charity', 'abatement', 'stand-in', 'help', 'remission', 'understudy', 'lessening', 'proxy', 'relieving', 'subsidy', 'alleviation', 'assuaging', 'liberation', 'supply', 'deliverance', 'care', 'brightening', 'jollification', 'soothing', 'appeasement', 'interruption', 'break', 'substitute', 'surrogate', 'reserve', 'deputy', 'discharge', 'amusement', 'respute', 'recreation', 'reassurance', 'solace', 'diversion', 'jollity', 'mitigating', 'gifts', 'freedom', 'donation', 'mitigation', 'assistance', 'alleviating', 'dulling', 'cover', 'stopgap']"
62,sadness,"['misery', 'heartache', 'desolation', 'depression', 'unhappiness', 'despair', 'regret', 'woe', 'sorrow', 'gloom', 'down', 'dejection', 'melancholy', 'despondency', 'grief']"
63,satisfaction,"['joy', 'pride', 'enjoyment', 'triumph', 'recompense', 'indemnification', 'redress', 'damages', 'relish', 'indemnity', 'complacency', 'fulfilment', 'content', 'compensation', 'atonement', 'gratification', 'contentment', 'appeasement', 'justice', 'reparation', 'payment', 'settlement', 'restitution', 'smugness', 'reimbursement', 'amends', 'pleasure', 'delight', 'self-satisfaction', 'repayment', 'happiness', 'retribution']"
